Date;Dernier
08/05/2015;1794.7
11/05/2015;1789.09
12/05/2015;1784.91
13/05/2015;1789.97
14/05/2015;1803.42
15/05/2015;1807.06
18/05/2015;1808.73
19/05/2015;1803.72
20/05/2015;1803.95
21/05/2015;1810.84
22/05/2015;1803.5
25/05/2015;1803.82
26/05/2015;1781.14
27/05/2015;1793.6
28/05/2015;1791.35
29/05/2015;1779.31
01/06/2015;1778.28
02/06/2015;1782.39
03/06/2015;1789.91
04/06/2015;1775.44
05/06/2015;1760.43
08/06/2015;1752.2
09/06/2015;1751.65
10/06/2015;1776.71
11/06/2015;1779.45
12/06/2015;1770.17
15/06/2015;1757.09
16/06/2015;1763.68
17/06/2015;1762.11
18/06/2015;1780.62
19/06/2015;1774.88
22/06/2015;1796.12
23/06/2015;1795.98
24/06/2015;1785.7
25/06/2015;1781.48
26/06/2015;1776.22
29/06/2015;1737.6
30/06/2015;1735.61
01/07/2015;1747.18
02/07/2015;1747.25
03/07/2015;1744.49
06/07/2015;1729.5
07/07/2015;1724.95
08/07/2015;1706.87
09/07/2015;1717.47
10/07/2015;1743.32
13/07/2015;1758.69
14/07/2015;1769.41
15/07/2015;1768.12
16/07/2015;1781.91
17/07/2015;1780.83
20/07/2015;1782.19
21/07/2015;1777.86
22/07/2015;1766.64
23/07/2015;1762.8
24/07/2015;1745.5
27/07/2015;1733.58
28/07/2015;1747.06
29/07/2015;1760.69
30/07/2015;1759.77
31/07/2015;1765.6
03/08/2015;1761.18
04/08/2015;1758.87
05/08/2015;1762.75
06/08/2015;1752.67
07/08/2015;1747.34
10/08/2015;1766.62
11/08/2015;1749.63
12/08/2015;1742.42
13/08/2015;1741.43
14/08/2015;1743.89
17/08/2015;1749.08
18/08/2015;1744.2
19/08/2015;1726.01
20/08/2015;1697.25
21/08/2015;1650.96
24/08/2015;1589.5
25/08/2015;1583.86
26/08/2015;1616.48
27/08/2015;1650.53
28/08/2015;1658.07
31/08/2015;1645.43
01/09/2015;1600.71
02/09/2015;1615.67
03/09/2015;1622.94
04/09/2015;1595.71
07/09/2015;1598.65
08/09/2015;1627.09
09/09/2015;1628.18
10/09/2015;1625.4
11/09/2015;1626.99
14/09/2015;1620.28
15/09/2015;1634.01
16/09/2015;1653.81
17/09/2015;1652.88
18/09/2015;1630.69
21/09/2015;1628.93
22/09/2015;1600.76
23/09/2015;1596.66
24/09/2015;1587.38
25/09/2015;1594.7
28/09/2015;1560.04
29/09/2015;1550.43
30/09/2015;1581.92
01/10/2015;1587.98
02/10/2015;1607.13
05/10/2015;1637.49
06/10/2015;1640.98
07/10/2015;1653.47
08/10/2015;1663.57
09/10/2015;1673.77
12/10/2015;1674.39
13/10/2015;1661.07
14/10/2015;1653.01
15/10/2015;1675.77
16/10/2015;1683.55
19/10/2015;1679.92
20/10/2015;1677.52
21/10/2015;1672.87
22/10/2015;1689.33
23/10/2015;1706.61
26/10/2015;1704.98
27/10/2015;1696.24
28/10/2015;1714.13
29/10/2015;1706.61
30/10/2015;1705.8
02/11/2015;1715.18
03/11/2015;1717.39
04/11/2015;1713.87
05/11/2015;1710.77
06/11/2015;1704.39
09/11/2015;1691.6
10/11/2015;1690.51
11/11/2015;1691.88
12/11/2015;1671.49
13/11/2015;1654.3
16/11/2015;1667.45
17/11/2015;1676.1
18/11/2015;1691.55
19/11/2015;1700.56
20/11/2015;1702.83
23/11/2015;1697.3
24/11/2015;1695.46
25/11/2015;1697.83
26/11/2015;1703.84
27/11/2015;1700.29
30/11/2015;1694.4
01/12/2015;1710.12
02/12/2015;1696.23
03/12/2015;1678.23
04/12/2015;1694.78
07/12/2015;1686.58
08/12/2015;1670.68
09/12/2015;1664.37
10/12/2015;1663.88
11/12/2015;1637.83
14/12/2015;1632.28
15/12/2015;1646.69
16/12/2015;1668.73
17/12/2015;1655.22
18/12/2015;1633.75
21/12/2015;1638.91
22/12/2015;1650.17
23/12/2015;1671.51
24/12/2015;1674
25/12/2015;1673.3
28/12/2015;1670.39
29/12/2015;1685.62
30/12/2015;1676.43
31/12/2015;1662.79
04/01/2016;1630.89
05/01/2016;1630.64
06/01/2016;1610.17
07/01/2016;1576.32
08/01/2016;1561.47
11/01/2016;1557.59
12/01/2016;1561.68
13/01/2016;1544.28
14/01/2016;1549.06
15/01/2016;1521
18/01/2016;1514.05
19/01/2016;1520.49
20/01/2016;1491.73
21/01/2016;1497.87
22/01/2016;1536.79
25/01/2016;1521.15
26/01/2016;1535.76
27/01/2016;1531.38
28/01/2016;1532.68
29/01/2016;1562.18
01/02/2016;1566.56
02/02/2016;1538.92
03/02/2016;1540.87
04/02/2016;1548.86
05/02/2016;1523.87
08/02/2016;1498.54
09/02/2016;1488.54
10/02/2016;1486.76
11/02/2016;1468.9
12/02/2016;1486.45
15/02/2016;1503.96
16/02/2016;1519.94
17/02/2016;1544.32
18/02/2016;1543.51
19/02/2016;1538.17
22/02/2016;1558.02
23/02/2016;1540.7
24/02/2016;1534.69
25/02/2016;1553.9
26/02/2016;1554.47
29/02/2016;1547.17
01/03/2016;1575.31
02/03/2016;1588.08
03/03/2016;1598.26
04/03/2016;1608.04
07/03/2016;1607.63
08/03/2016;1593.66
09/03/2016;1598.47
10/03/2016;1597.09
11/03/2016;1626.17
14/03/2016;1627.5
15/03/2016;1619.16
16/03/2016;1621.47
17/03/2016;1643
18/03/2016;1645.57
21/03/2016;1643.68
22/03/2016;1643.58
23/03/2016;1631.27
24/03/2016;1622.21
25/03/2016;1623.71
28/03/2016;1627.63
29/03/2016;1635.87
30/03/2016;1652.89
31/03/2016;1648.12
01/04/2016;1640.14
04/04/2016;1640.75
05/04/2016;1618.53
06/04/2016;1633.41
07/04/2016;1621.66
08/04/2016;1632.2
11/04/2016;1632.14
12/04/2016;1644.22
13/04/2016;1666.17
14/04/2016;1671.96
15/04/2016;1670.47
18/04/2016;1675.32
19/04/2016;1692.91
20/04/2016;1695.05
21/04/2016;1690.45
22/04/2016;1686.17
25/04/2016;1682.68
26/04/2016;1685.65
27/04/2016;1685.95
28/04/2016;1677.34
29/04/2016;1670.8
02/05/2016;1675.64
03/05/2016;1658.64
04/05/2016;1644.01
05/05/2016;1641.16
06/05/2016;1643.19
09/05/2016;1642.89
10/05/2016;1662.31
11/05/2016;1653.38
12/05/2016;1649.91
13/05/2016;1635.92
16/05/2016;1648.49
17/05/2016;1641.63
18/05/2016;1641.15
19/05/2016;1627.61
20/05/2016;1639.85
23/05/2016;1635.62
24/05/2016;1654.36
25/05/2016;1668.87
26/05/2016;1672.12
27/05/2016;1676.07
30/05/2016;1676.84
31/05/2016;1674.61
01/06/2016;1672.86
02/06/2016;1673.77
03/06/2016;1678.58
06/06/2016;1686.39
07/06/2016;1694.29
08/06/2016;1699.29
09/06/2016;1688.66
10/06/2016;1665.22
13/06/2016;1645.64
14/06/2016;1630.45
15/06/2016;1633.8
16/06/2016;1628.13
17/06/2016;1635.78
20/06/2016;1664.14
21/06/2016;1668.78
22/06/2016;1667.91
23/06/2016;1691.76
24/06/2016;1608.79
27/06/2016;1571.76
28/06/2016;1599.12
29/06/2016;1634.41
30/06/2016;1653.23
01/07/2016;1660.26
04/07/2016;1660.88
05/07/2016;1645.54
06/07/2016;1640.74
07/07/2016;1643.93
08/07/2016;1662.32
11/07/2016;1676.15
12/07/2016;1690.69
13/07/2016;1694.38
14/07/2016;1703.22
15/07/2016;1700.57
18/07/2016;1703.93
19/07/2016;1698.72
20/07/2016;1707.32
21/07/2016;1705.4
22/07/2016;1706.97
25/07/2016;1703.94
26/07/2016;1705.99
27/07/2016;1706.35
28/07/2016;1707.59
